,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
HER2B-K172_scene10_cell5534,364,6046.546703296704,1236.3104395604394,0.8217291590399962,HER2B-K172_scene10,5534
HER2B-K172_scene10_cell5538,709,6047.801128349787,3728.8716502115667,0.8307852641569391,HER2B-K172_scene10,5538
HER2B-K172_scene10_cell5541,562,6049.836298932384,3336.6476868327404,0.9593631428346372,HER2B-K172_scene10,5541
HER2B-K172_scene10_cell5542,223,6049.2780269058285,3400.843049327354,0.8377396872152975,HER2B-K172_scene10,5542
HER2B-K172_scene10_cell5543,418,6050.083732057417,3681.1267942583727,0.7736926604005165,HER2B-K172_scene10,5543
HER2B-K172_scene10_cell5544,55,6053.109090909091,1301.0727272727272,0.6153985895613784,HER2B-K172_scene10,5544
HER2B-K172_scene10_cell5548,408,6052.916666666668,3437.4681372549016,0.9440047041963976,HER2B-K172_scene10,5548
HER2B-K172_scene10_cell5549,540,6053.983333333334,3836.85,0.8539780394644513,HER2B-K172_scene10,5549
HER2B-K172_scene10_cell5550,323,6054.439628482973,3930.8885448916412,0.3848769122595335,HER2B-K172_scene10,5550
HER2B-K172_scene10_cell5551,522,6055.773946360153,3266.7547892720313,0.6454731192454821,HER2B-K172_scene10,5551
HER2B-K172_scene10_cell5552,1148,6056.3493031358885,3762.147212543554,0.5095090441642833,HER2B-K172_scene10,5552
HER2B-K172_scene10_cell5554,853,6056.927315357561,4613.198124267292,0.909475908655078,HER2B-K172_scene10,5554
HER2B-K172_scene10_cell5555,340,6057.338235294117,4832.385294117647,0.5274868034116262,HER2B-K172_scene10,5555
HER2B-K172_scene10_cell5560,646,6060.530959752322,3529.9427244582043,0.4174870725944225,HER2B-K172_scene10,5560
HER2B-K172_scene10_cell5561,291,6060.8144329896895,1547.4192439862545,0.4666379620918395,HER2B-K172_scene10,5561
HER2B-K172_scene10_cell5564,523,6061.7973231357555,4536.822179732314,0.8072405062688693,HER2B-K172_scene10,5564
